Paper1,Paper2,similarity
"""9.pdf""","""12.pdf""",0.42391304347826086
"""9.pdf""","""14.pdf""",0.42391304347826086
"""23.pdf""","""53.pdf""",0.423728813559322
"""33.pdf""","""35.pdf""",0.4230769230769231
"""35.pdf""","""33.pdf""",0.4230769230769231
"""35.pdf""","""34.pdf""",0.4230769230769231
"""62.pdf""","""20.pdf""",0.42105263157894735
"""31.pdf""","""21.pdf""",0.417910447761194
"""36.pdf""","""21.pdf""",0.4166666666666667
"""59.pdf""","""21.pdf""",0.4155844155844156
"""59.pdf""","""48.pdf""",0.4155844155844156
"""5.pdf""","""49.pdf""",0.4152542372881356
"""23.pdf""","""65.pdf""",0.4146341463414634
"""62.pdf""","""19.pdf""",0.41333333333333333
"""5.pdf""","""41.pdf""",0.4117647058823529
"""35.pdf""","""15.pdf""",0.41025641025641024
"""35.pdf""","""29.pdf""",0.41025641025641024
"""62.pdf""","""48.pdf""",0.40816326530612246
"""38.pdf""","""26.pdf""",0.40540540540540543
"""5.pdf""","""24.pdf""",0.4050632911392405
"""5.pdf""","""40.pdf""",0.40476190476190477
"""31.pdf""","""30.pdf""",0.40298507462686567
"""59.pdf""","""18.pdf""",0.4027777777777778
"""62.pdf""","""18.pdf""",0.4027777777777778
"""38.pdf""","""34.pdf""",0.4025974025974026
"""38.pdf""","""49.pdf""",0.4025974025974026
"""59.pdf""","""17.pdf""",0.4025974025974026
"""59.pdf""","""61.pdf""",0.4025974025974026
"""61.pdf""","""59.pdf""",0.4025974025974026
"""1.pdf""","""9.pdf""",0.40217391304347827
"""9.pdf""","""1.pdf""",0.40217391304347827
"""9.pdf""","""21.pdf""",0.40217391304347827
"""9.pdf""","""41.pdf""",0.40217391304347827
"""9.pdf""","""42.pdf""",0.40217391304347827
"""35.pdf""","""30.pdf""",0.3974358974358974
"""61.pdf""","""28.pdf""",0.39622641509433965
"""61.pdf""","""12.pdf""",0.39285714285714285
"""59.pdf""","""15.pdf""",0.38961038961038963
"""62.pdf""","""38.pdf""",0.38961038961038963
"""31.pdf""","""12.pdf""",0.3880597014925373
"""31.pdf""","""15.pdf""",0.3880597014925373
"""50.pdf""","""41.pdf""",0.3855421686746988
"""35.pdf""","""21.pdf""",0.38461538461538464
"""59.pdf""","""20.pdf""",0.3815789473684211
"""61.pdf""","""49.pdf""",0.38095238095238093
"""31.pdf""","""28.pdf""",0.37735849056603776
"""1.pdf""","""49.pdf""",0.37719298245614036
"""32.pdf""","""15.pdf""",0.37681159420289856
"""59.pdf""","""12.pdf""",0.37662337662337664
"""33.pdf""","""29.pdf""",0.375
"""35.pdf""","""36.pdf""",0.375
"""36.pdf""","""29.pdf""",0.375
"""36.pdf""","""34.pdf""",0.375
"""36.pdf""","""35.pdf""",0.375
"""36.pdf""","""46.pdf""",0.375
"""35.pdf""","""37.pdf""",0.3717948717948718
"""37.pdf""","""35.pdf""",0.3717948717948718
"""1.pdf""","""25.pdf""",0.37037037037037035
"""33.pdf""","""51.pdf""",0.37037037037037035
"""1.pdf""","""23.pdf""",0.36585365853658536
"""36.pdf""","""12.pdf""",0.3611111111111111
"""36.pdf""","""14.pdf""",0.3611111111111111
"""35.pdf""","""17.pdf""",0.358974358974359
"""1.pdf""","""7.pdf""",0.358695652173913
"""1.pdf""","""53.pdf""",0.3559322033898305
"""1.pdf""","""20.pdf""",0.35526315789473684
"""33.pdf""","""17.pdf""",0.3543307086614173
"""37.pdf""","""30.pdf""",0.3516483516483517
"""33.pdf""","""26.pdf""",0.35135135135135137
"""32.pdf""","""41.pdf""",0.34782608695652173
"""33.pdf""","""18.pdf""",0.3472222222222222
"""33.pdf""","""19.pdf""",0.3466666666666667
"""37.pdf""","""28.pdf""",0.33962264150943394
"""33.pdf""","""15.pdf""",0.33858267716535434
"""50.pdf""","""14.pdf""",0.3373493975903614
"""50.pdf""","""17.pdf""",0.3373493975903614
"""32.pdf""","""21.pdf""",0.3333333333333333
"""37.pdf""","""36.pdf""",0.3333333333333333
"""37.pdf""","""15.pdf""",0.32967032967032966
"""31.pdf""","""14.pdf""",0.3283582089552239
"""31.pdf""","""35.pdf""",0.3283582089552239
"""31.pdf""","""36.pdf""",0.3283582089552239
"""31.pdf""","""41.pdf""",0.3283582089552239
"""32.pdf""","""14.pdf""",0.3188405797101449
"""32.pdf""","""30.pdf""",0.3188405797101449
"""32.pdf""","""33.pdf""",0.3188405797101449
"""50.pdf""","""21.pdf""",0.3132530120481928
"""37.pdf""","""17.pdf""",0.3076923076923077
"""32.pdf""","""34.pdf""",0.30434782608695654
"""32.pdf""","""31.pdf""",0.29850746268656714
"""32.pdf""","""29.pdf""",0.2898550724637681
"""50.pdf""","""12.pdf""",0.2891566265060241
"""50.pdf""","""15.pdf""",0.2891566265060241
"""50.pdf""","""2.pdf""",0.2891566265060241
"""50.pdf""","""30.pdf""",0.2891566265060241
"""37.pdf""","""21.pdf""",0.2857142857142857
"""37.pdf""","""38.pdf""",0.2857142857142857
"""50.pdf""","""51.pdf""",0.2777777777777778
"""37.pdf""","""33.pdf""",0.27472527472527475
"""50.pdf""","""60.pdf""",0.2682926829268293
"""37.pdf""","""51.pdf""",0.25925925925925924
