prefLabel,id,from_to,matchType,text
Physical,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25618,18025-18032|18463-18470,PREF|PREF,PHYSICAL|PHYSICAL
Probability Density,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94958,18150-18168,PREF,PROBABILITY DENSITY
Probability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54154,18150-18160|25766-25776|32345-32355,PREF|PREF|PREF,PROBABILITY|PROBABILITY|PROBABILITY
Critical,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25467,18509-18516,PREF,CRITICAL
Validation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16237,18557-18566,PREF,VALIDATION
Mixture,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45305,18635-18641|41632-41638,PREF|PREF,MIXTURE|MIXTURE
Proportion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49159,18643-18652,PREF,PROPORTION
Eighth,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133533,18735-18740,PREF,EIGHTH
Shape,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25677,19009-19013|24488-24492|39744-39748,PREF|PREF|PREF,SHAPE|SHAPE|SHAPE
Simple,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47880,19062-19067|21102-21107,PREF|PREF,SIMPLE|SIMPLE
Black,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48323,19107-19111,PREF,BLACK
Black,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C128938,19107-19111,PREF,BLACK
Keyboard Device,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50018,19177-19184|28743-28757|28743-28750|29019-29026,SYN|PREF|SYN|SYN,KEYBOARD|KEYBOARD DEVICE|KEYBOARD|KEYBOARD
Rank,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48904,19821-19824|43984-43987,PREF|PREF,RANK|RANK
Region,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41129,19951-19956|32454-32459,PREF|PREF,REGION|REGION
Upper,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25355,19986-19990|37232-37236,PREF|PREF,UPPER|UPPER
Near,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48927,20171-20174,PREF,NEAR
Voluntary,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74096,20195-20203,PREF,VOLUNTARY
Known,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80137,20579-20583,PREF,KNOWN
Discussion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71323,21027-21036,PREF,DISCUSSION
Inferior,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25353,21809-21816,PREF,INFERIOR
Compatible,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40414,22015-22024,PREF,COMPATIBLE
Activate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28002,22217-22224|22582-22589,PREF|PREF,ACTIVATE|ACTIVATE
Base,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92955,22264-22267,PREF,BASE
Base,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48056,22264-22267,PREF,BASE
Main,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25562,22481-22484,PREF,MAIN
Neural,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25363,22592-22597|27290-27295|27543-27548,PREF|PREF|PREF,NEURAL|NEURAL|NEURAL
Spinal Cord,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12464,22633-22643,PREF,SPINAL CORD
Spinal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38026,22633-22638,PREF,SPINAL
Cord,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61540,22640-22643,PREF,CORD
Likely,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85550,22944-22949|23966-23971,PREF|PREF,LIKELY|LIKELY
Important,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115916,23395-23403,PREF,IMPORTANT
Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63536,23523-23527|39082-39086|43507-43511,PREF|PREF|PREF,STUDY|STUDY|STUDY
Input,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47905,23655-23659|23920-23924|24016-24020,PREF|PREF|PREF,INPUT|INPUT|INPUT
Level,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25554,23795-23800|36845-36849|39796-39801|40604-40608|42000-42005|43419-43424,SYN|PREF|SYN|PREF|SYN|SYN,DEGREE|LEVEL|DEGREE|LEVEL|DEGREE|DEGREE
